Time,Voltage,Current
0.007775259009,488.2168385,0.02731432462
0.008131783916,488.2751664,0.02731116883
0.008761692096,488.3407775,0.02730339775
0.009529201826,488.380372,0.02729141339
0.01029671156,488.3967046,0.02727783732
0.01106422129,488.4032006,0.02726349157
0.01199080605,488.4064217,0.02724577703
0.01315741789,488.4078636,0.02722334163
0.01462120779,488.4083856,0.02719542991
0.01491615294,488.4083913,0.02718984232
0.0152110981,488.4084282,0.0271842515
0.01556543977,488.4084811,0.02717748827
0.01591978143,488.4085323,0.02717064406
0.01663755071,488.4086235,0.02715647443
0.01778012005,488.4087493,0.02713318408
0.0189226894,488.4088622,0.02710923954
0.01913948892,488.4088827,0.02710463606
0.0191776679,488.4088863,0.02710382466
0.01918674024,488.4088872,0.02710363185
0.01918816309,488.4088873,0.02710360161
0.01918872195,488.4088873,0.02710358973
0.0191892808,488.4088874,0.02710357786
0.01918983966,488.4088875,0.02710356598
0.0191906513,488.4088875,0.02710354873
0.01919199928,488.4088877,0.02710352008
0.01919384291,488.4088878,0.0271034809
0.01919616072,488.4088881,0.02710343165
0.01919953451,488.4088884,0.02710335997
0.01920521605,488.4088889,0.02710323932
0.01921486237,488.4088899,0.02710303476
0.01923103937,488.4088915,0.02710269306
0.01925885431,488.4088943,0.02710211211
0.01929238398,488.4088978,0.02710142812
0.01934906335,488.4089039,0.02710033535
0.01940574271,488.4089104,0.02709934693
0.01946242208,488.4089172,0.02709849311
0.01951910145,488.4089243,0.02709780062
0.01957578082,488.4089317,0.02709729166
0.01964674053,488.4089413,0.02709694072
0.01973244102,488.4089535,0.02709696797
0.0198181415,488.4089664,0.02709750228
0.01994566496,488.4089865,0.02709921026
0.02005304778,488.4090045,0.02710143626
0.02013911693,488.4090195,0.02710367585
0.02022518608,488.4090351,0.0271062438
0.02029613878,488.4090483,0.02710855667
0.02036709149,488.4090618,0.02711099342
0.02043804419,488.4090756,0.02711350649
0.02050899689,488.4090897,0.02711604923
0.0205799496,488.4091041,0.02711857705
0.0206509023,488.4091187,0.02712104851
0.02072185501,488.4091336,0.02712342641
0.02079280771,488.4091486,0.02712567857
0.02086376041,488.4091638,0.02712777852
0.02093471312,488.4091792,0.02712970583
0.02100566582,488.4091947,0.02713144641
0.02106561511,488.4092078,0.02713276565
0.02108500165,488.4092121,0.02713316213
0.02109660853,488.4092147,0.02713339237
0.02110821541,488.4092172,0.0271336173
